"source","target","width_layout"
0,327,1.59527146816254
0,739,1.50204980373383
0,237,1.50204980373383
0,323,1.52370345592499
0,480,1.59527146816254
0,454,1.55308878421783
0,180,1.36004531383514
0,453,1.95649695396423
0,322,1.95649695396423
1,769,1.30524349212646
6,290,1.55308878421783
7,9,1.2809647321701
7,8,1.69140219688416
8,750,1.69140219688416
8,860,1.55308878421783
11,12,1.41780996322632
12,359,1.54220259189606
13,290,1.89835274219513
13,376,1.61775851249695
13,508,1.54220259189606
13,505,1.67844176292419
13,291,1.57212233543396
13,509,1.52370345592499
13,379,1.54220259189606
13,378,1.64493179321289
13,392,1.67844176292419
13,377,1.82652735710144
14,393,1.72517371177673
14,483,1.55818712711334
14,183,1.51430177688599
14,762,1.80172193050385
14,765,1.51430177688599
14,763,1.72517371177673
14,758,1.72517371177673
14,761,1.72517371177673
14,654,1.47851359844208
14,772,1.65175020694733
14,764,1.58145153522491
14,802,1.67533826828003
14,809,1.61552119255066
14,656,1.51430177688599
14,78,1.88136494159698
15,458,1.48545706272125
15,539,1.48545706272125
15,546,1.61370253562927
16,377,1.62404489517212
16,174,1.48545706272125
16,807,1.48545706272125
16,369,1.59527146816254
18,284,1.52370345592499
19,520,1.54220259189606
19,301,1.54220259189606
19,507,1.54220259189606
19,147,1.54220259189606
19,506,1.54220259189606
19,391,1.72892272472382
21,393,2.27524662017822
21,762,1.67844176292419
21,765,1.90502786636353
21,802,1.67533826828003
21,758,1.67844176292419
21,761,1.75098967552185
21,803,1.75098967552185
21,763,1.67844176292419
21,184,2.39729642868042
21,151,1.8869321346283
21,192,1.75572264194489
21,614,1.60882842540741
21,809,1.51687717437744
21,191,2.18618273735046
21,22,3.32760858535767
21,788,2.27524662017822
21,482,2.27524662017822
22,150,1.47851359844208
22,788,3.32760858535767
22,393,1.90502786636353
22,763,1.67844176292419
22,614,1.67844176292419
22,764,1.54220259189606
22,482,2.27524662017822
22,14,1.47851359844208
22,802,1.92597472667694
22,762,1.90502786636353
22,78,1.60882842540741
22,809,1.66732239723206
22,759,1.47851359844208
22,143,1.47851359844208
22,765,2.61444497108459
22,761,2.27524662017822
22,803,1.67844176292419
22,613,1.60882842540741
22,758,1.82652735710144
23,393,2.5401132106781
23,763,2.19447374343872
23,803,1.80172193050385
23,760,1.58145153522491
23,809,1.51687717437744
23,802,1.79661381244659
23,765,2.19447374343872
23,762,1.88136494159698
23,761,2.19447374343872
23,613,1.51430177688599
23,758,1.9641615152359
23,185,2.89801168441772
23,143,1.58145153522491
23,357,2.5401132106781
23,24,2.18618273735046
23,21,1.98645949363708
23,184,1.95649695396423
23,78,1.58145153522491
23,764,1.51430177688599
23,150,1.51430177688599
23,788,2.19447374343872
23,14,1.51430177688599
23,482,1.90502786636353
23,192,1.87965261936188
23,151,1.8869321346283
23,22,2.61444497108459
23,191,1.97034931182861
24,763,1.89529526233673
24,803,1.75281941890717
24,765,2.18618273735046
24,393,1.82278525829315
24,78,1.68539786338806
24,809,1.89094352722168
24,614,1.75281941890717
24,764,1.55818712711334
24,760,1.49839806556702
24,761,2.18618273735046
24,613,1.55818712711334
24,758,1.75281941890717
24,730,1.66855728626251
24,144,1.49839806556702
24,483,1.49839806556702
24,759,1.49839806556702
24,191,3.84095644950867
24,184,3.63255548477173
24,802,2.81137275695801
24,22,3.149409532547
24,150,1.68539786338806
24,788,2.81845498085022
24,192,2.58511829376221
24,151,2.69314479827881
24,21,2.18618273735046
24,14,1.68539786338806
24,482,2.18618273735046
24,762,2.49737930297852
25,550,1.50204980373383
26,660,1.54220259189606
26,593,1.59527146816254
26,13,1.98645949363708
26,504,1.67844176292419
26,769,1.67844176292419
26,742,1.87326610088348
26,290,1.66076064109802
26,378,1.52370345592499
26,520,1.67844176292419
26,301,1.67844176292419
26,69,1.54220259189606
26,237,1.54220259189606
26,147,1.54220259189606
26,775,1.53718495368958
26,153,1.67844176292419
26,174,1.54220259189606
26,377,1.67844176292419
26,505,1.54220259189606
26,376,1.50860917568207
26,379,1.54220259189606
26,509,1.52370345592499
27,161,1.72076821327209
27,26,1.54220259189606
27,502,1.56538987159729
28,137,1.36004531383514
29,172,1.53432559967041
29,545,1.53432559967041
30,550,1.48545706272125
30,25,1.48545706272125
30,13,1.54220259189606
30,807,1.48545706272125
30,419,1.59527146816254
30,61,1.50860917568207
30,16,1.48545706272125
31,295,1.2478358745575
32,456,1.52370345592499
32,327,1.69140219688416
33,858,1.2478358745575
35,511,1.52370345592499
35,554,1.73496532440186
35,634,1.52370345592499
35,553,1.41217339038849
36,273,1.72517371177673
36,34,1.51430177688599
36,43,1.62052035331726
36,276,1.58145153522491
36,274,1.51430177688599
36,624,1.22531569004059
37,773,1.55308878421783
38,40,1.50204980373383
38,57,1.50204980373383
39,49,1.49604880809784
39,278,1.50204980373383
39,35,1.49604880809784
39,34,1.50204980373383
39,50,1.81424570083618
40,277,1.48545706272125
40,63,1.69140219688416
40,62,1.57931685447693
40,330,1.50204980373383
40,64,1.53432559967041
40,59,1.57931685447693
40,58,1.4932256937027
40,61,1.50204980373383
40,60,1.48545706272125
40,57,1.83617794513702
40,56,1.66076064109802
40,275,1.83617794513702
40,278,1.74638092517853
40,280,1.57931685447693
40,655,1.83617794513702
40,279,1.4932256937027
40,281,1.57931685447693
40,282,1.4932256937027
41,44,1.36004531383514
42,36,1.56538987159729
42,43,1.72076821327209
42,274,1.51687717437744
42,273,1.56538987159729
43,273,1.49839806556702
43,274,1.49839806556702
44,718,1.27465045452118
45,505,1.29114735126495
48,46,1.43369436264038
48,47,1.29114735126495
48,634,1.43369436264038
50,625,1.39754724502563
50,34,1.50204980373383
51,28,1.36004531383514
53,52,1.12615561485291
54,630,1.29114735126495
54,663,1.72076821327209
54,629,1.50204980373383
55,54,1.43369436264038
56,484,1.57931685447693
56,797,1.77585875988007
57,652,1.50204980373383
57,56,1.57931685447693
57,654,1.60882842540741
57,653,1.50204980373383
57,655,1.57931685447693
57,61,1.50204980373383
57,58,1.4932256937027
57,59,1.74638092517853
57,64,1.61090064048767
57,63,1.53432559967041
57,650,1.77585875988007
57,62,1.50204980373383
57,281,1.66076064109802
57,275,1.74638092517853
57,280,1.66076064109802
57,278,1.74638092517853
58,736,1.54220259189606
58,56,1.80400621891022
58,483,1.49839806556702
58,737,1.72076821327209
58,484,1.80400621891022
58,546,1.80400621891022
58,489,1.50590443611145
58,168,1.4932256937027
58,545,1.80400621891022
58,797,1.8503702878952
58,655,1.80400621891022
58,173,1.4932256937027
58,547,1.72517371177673
58,653,1.64122939109802
58,539,1.72076821327209
58,83,1.64493179321289
58,731,1.51578330993652
58,171,1.4932256937027
58,542,1.50590443611145
58,654,1.75098967552185
58,492,1.50590443611145
58,59,1.64122939109802
58,382,1.64122939109802
58,540,1.67033064365387
58,170,1.59527146816254
59,382,1.62873005867004
59,190,1.54641807079315
59,654,1.47851359844208
59,545,1.50204980373383
59,737,1.56538987159729
59,653,1.62873005867004
59,546,1.71551787853241
59,56,1.50204980373383
59,170,1.52370345592499
59,540,1.52370345592499
59,655,2.01004528999329
59,548,1.80675661563873
60,540,1.55308878421783
60,654,1.60882842540741
60,170,1.55308878421783
60,733,1.57447445392609
60,737,1.48545706272125
60,489,1.50590443611145
60,731,1.57212233543396
61,375,1.50860917568207
61,539,1.57637405395508
61,546,1.61370253562927
61,237,1.61775851249695
61,775,1.53718495368958
61,84,1.53718495368958
61,663,1.61775851249695
61,664,1.50860917568207
61,291,1.61775851249695
61,796,1.50860917568207
61,75,1.61775851249695
61,479,1.86028361320496
61,56,1.83617794513702
61,481,1.61775851249695
61,662,1.50860917568207
62,731,1.63067102432251
62,540,1.52370345592499
62,61,1.50204980373383
62,458,1.66076064109802
62,755,1.57931685447693
62,542,1.50590443611145
62,736,1.54220259189606
62,76,1.50204980373383
62,58,1.4932256937027
62,330,1.50204980373383
62,79,1.50204980373383
62,64,1.77585875988007
62,811,1.66076064109802
62,838,1.50204980373383
62,489,1.50590443611145
62,56,1.66076064109802
62,490,1.93015146255493
62,63,1.95649695396423
63,736,1.54220259189606
63,56,1.53432559967041
63,737,1.4932256937027
63,675,1.53432559967041
63,797,1.50590443611145
63,540,1.59527146816254
63,458,1.53432559967041
63,489,1.70415866374969
63,731,1.69140219688416
63,58,1.64122939109802
63,60,1.62404489517212
63,490,1.69140219688416
63,64,1.69140219688416
63,542,1.50590443611145
64,755,1.61090064048767
64,736,1.60882842540741
64,540,1.74888062477112
64,654,1.60882842540741
64,539,1.61090064048767
64,731,1.57212233543396
64,546,1.53432559967041
64,489,1.63524401187897
64,737,1.4932256937027
64,545,1.61090064048767
64,231,1.29900395870209
64,56,1.77585875988007
64,479,1.53432559967041
64,797,1.56916844844818
64,60,1.55308878421783
64,58,1.56538987159729
65,519,1.63524401187897
65,505,1.59527146816254
66,387,1.8503702878952
66,404,1.50204980373383
66,408,1.63524401187897
66,72,1.8503702878952
66,73,1.8503702878952
66,410,1.56538987159729
66,407,1.52370345592499
66,409,1.52370345592499
66,70,1.63524401187897
67,71,1.69140219688416
67,387,1.69140219688416
68,387,1.77585875988007
68,71,1.55308878421783
68,70,1.63524401187897
68,73,1.63524401187897
68,72,1.63524401187897
68,67,1.55308878421783
68,66,1.63524401187897
69,259,1.83617794513702
69,284,1.59527146816254
69,497,1.59527146816254
69,10,1.29114735126495
69,237,1.50204980373383
69,147,1.62404489517212
69,769,1.67844176292419
69,153,1.77585875988007
70,387,1.8503702878952
70,637,1.63524401187897
70,409,1.52370345592499
71,122,1.48545706272125
71,637,1.69140219688416
71,70,1.63524401187897
71,750,1.59527146816254
71,387,1.95649695396423
72,610,1.62404489517212
72,410,1.56538987159729
72,71,1.8503702878952
72,156,1.77585875988007
72,404,1.66076064109802
72,409,1.52370345592499
72,70,1.63524401187897
72,387,1.8503702878952
73,415,1.52370345592499
73,72,1.63524401187897
73,70,1.63524401187897
73,389,1.63524401187897
73,407,1.70918297767639
73,637,1.8503702878952
73,387,1.8503702878952
74,376,1.50860917568207
74,518,1.64493179321289
75,796,1.50860917568207
77,619,1.55308878421783
77,653,1.47636461257935
78,802,1.92597472667694
78,809,1.66732239723206
78,393,1.58145153522491
78,765,1.58145153522491
78,143,1.58145153522491
78,759,1.80172193050385
78,772,1.72517371177673
78,654,1.60882842540741
78,763,1.65175020694733
78,761,1.9641615152359
78,758,1.51430177688599
78,657,1.58145153522491
78,83,1.52370345592499
78,483,1.49839806556702
78,656,1.51430177688599
78,484,1.51430177688599
78,183,1.58145153522491
78,762,2.19447374343872
79,76,1.56029164791107
79,64,1.53432559967041
79,511,1.66076064109802
79,61,1.55308878421783
80,17,2.43754458427429
82,733,1.57447445392609
83,797,1.84495902061462
83,653,1.58310532569885
83,656,1.52370345592499
83,483,1.70918297767639
83,484,1.64493179321289
83,545,1.58310532569885
83,56,1.58310532569885
83,539,1.52370345592499
83,489,1.64493179321289
83,731,1.8195458650589
83,540,1.77585875988007
84,290,1.53718495368958
84,774,1.52370345592499
84,619,1.53718495368958
84,484,1.51211881637573
84,56,1.50204980373383
86,218,1.2478358745575
86,219,1.40038228034973
89,88,1.20821046829224
91,90,1.20454609394073
93,87,1.06303775310516
93,92,1.01789808273315
95,94,1.29900395870209
96,689,1.36004531383514
96,313,1.44545209407806
98,653,1.46165382862091
102,508,1.56538987159729
102,519,1.63524401187897
102,379,1.77585875988007
106,820,1.36004531383514
106,105,1.21820867061615
107,314,1.52370345592499
107,106,1.77585875988007
109,605,1.46165382862091
109,108,1.44545209407806
110,126,1.43369436264038
112,860,1.36004531383514
113,114,1.21820867061615
113,658,1.63524401187897
116,4,1.31456673145294
119,148,1.53718495368958
119,718,1.40366911888123
120,474,1.48545706272125
121,673,1.36004531383514
123,830,1.73965728282928
124,638,1.62404489517212
124,156,1.56538987159729
124,298,1.62404489517212
125,594,1.59527146816254
126,230,1.36004531383514
128,456,1.52370345592499
128,409,1.52370345592499
130,122,1.59527146816254
132,386,1.77585875988007
135,610,1.54220259189606
139,320,1.43369436264038
141,856,1.36004531383514
142,462,1.41217339038849
142,145,1.52370345592499
142,616,1.52370345592499
142,365,1.52370345592499
143,772,1.80400621891022
143,759,1.74638092517853
143,117,1.70918297767639
144,759,1.50204980373383
144,143,1.50204980373383
146,505,1.54220259189606
147,13,1.54220259189606
147,367,1.62404489517212
147,479,1.61775851249695
147,506,1.62404489517212
147,153,1.62404489517212
147,259,1.48545706272125
147,769,1.54220259189606
147,377,1.48545706272125
147,152,1.59527146816254
147,605,1.48545706272125
147,593,1.59527146816254
147,379,1.62404489517212
147,519,1.48545706272125
147,504,1.48545706272125
147,509,1.64493179321289
148,101,1.36004531383514
148,614,1.57931685447693
149,774,1.52370345592499
149,509,1.66076064109802
150,773,1.4932256937027
150,78,1.88136494159698
150,143,1.56538987159729
150,144,1.4932256937027
150,758,1.83092153072357
150,761,1.72517371177673
150,803,1.4932256937027
150,763,1.80400621891022
150,393,1.55308878421783
150,762,1.72517371177673
150,772,1.64122939109802
150,759,1.4932256937027
150,765,1.62404489517212
150,802,1.61775851249695
150,764,1.64122939109802
150,614,1.56538987159729
150,14,1.80172193050385
150,482,1.54220259189606
151,22,1.8869321346283
151,150,1.57212233543396
151,788,1.8195458650589
151,14,1.57212233543396
151,482,1.75436913967133
151,761,1.8195458650589
151,758,1.69140219688416
151,614,1.69140219688416
151,78,1.51578330993652
151,809,1.83256447315216
151,802,1.99368727207184
151,765,1.8869321346283
151,762,1.75436913967133
151,393,1.8869321346283
151,763,1.8869321346283
151,191,3.63255548477173
151,192,3.75796461105347
151,483,1.57212233543396
151,730,1.63067102432251
152,509,1.52370345592499
152,149,1.66076064109802
152,383,1.49604880809784
152,259,1.59527146816254
153,259,1.48545706272125
153,504,1.62404489517212
155,377,1.48545706272125
155,379,1.50204980373383
155,473,1.66076064109802
156,410,1.56538987159729
156,71,1.59527146816254
156,610,1.62404489517212
156,70,1.59527146816254
157,505,1.59527146816254
158,740,1.89094352722168
158,738,1.59527146816254
159,480,1.48545706272125
159,313,1.55308878421783
159,582,1.48545706272125
159,327,1.77585875988007
159,538,1.48545706272125
159,314,1.66076064109802
159,311,1.59527146816254
159,160,1.59527146816254
162,165,1.11569511890411
164,94,1.23474729061127
165,832,1.20454609394073
166,785,1.48545706272125
166,513,1.48545706272125
166,376,1.57637405395508
166,780,1.48545706272125
167,780,1.59527146816254
167,147,1.59527146816254
167,368,1.52370345592499
167,367,1.59527146816254
167,479,1.50860917568207
167,593,1.72892272472382
167,509,1.52370345592499
167,391,1.72892272472382
167,576,1.47231233119965
167,785,1.72892272472382
168,778,1.70918297767639
168,774,1.70918297767639
168,513,1.70918297767639
168,376,1.81009125709534
168,384,1.47636461257935
169,166,1.48545706272125
169,539,1.48545706272125
169,785,1.64493179321289
169,771,1.64493179321289
169,593,1.52370345592499
169,778,1.57637405395508
169,780,1.52370345592499
169,779,1.52370345592499
169,167,1.64493179321289
169,781,1.55308878421783
169,509,1.91648399829865
170,83,1.52370345592499
170,653,1.52370345592499
170,546,1.52370345592499
170,540,1.59527146816254
171,484,1.51211881637573
171,376,1.48545706272125
171,773,1.57637405395508
171,653,1.64927959442139
171,545,1.66076064109802
171,168,1.52370345592499
171,521,1.57637405395508
171,539,1.67318260669708
172,545,1.50204980373383
172,521,1.52370345592499
172,653,1.7433522939682
172,773,1.52370345592499
172,489,1.50590443611145
172,171,1.52370345592499
173,546,1.56029164791107
173,539,1.47636461257935
173,484,1.77585875988007
174,377,1.62404489517212
175,375,1.59527146816254
175,663,1.72076821327209
175,550,1.50204980373383
176,774,1.50204980373383
176,384,1.50204980373383
176,545,1.50204980373383
178,378,1.8195458650589
179,285,1.48545706272125
179,261,1.48545706272125
179,740,1.48545706272125
179,158,1.48545706272125
179,332,1.54220259189606
179,739,1.48545706272125
179,738,1.59527146816254
181,377,1.31813228130341
182,191,1.49839806556702
182,185,1.49839806556702
182,184,1.57212233543396
182,802,1.56217312812805
182,803,1.49839806556702
182,192,1.53115272521973
182,24,1.62052035331726
183,170,1.55308878421783
183,737,1.48545706272125
183,483,1.55818712711334
184,393,1.8195458650589
184,762,2.10989618301392
184,765,1.8869321346283
184,763,1.75436913967133
184,761,1.75436913967133
184,803,1.69140219688416
184,613,1.51578330993652
184,730,1.63067102432251
184,809,1.89094352722168
184,802,2.52489542961121
184,191,3.31083846092224
184,22,2.39729642868042
184,151,2.99770164489746
184,192,2.58511829376221
184,614,1.63067102432251
184,78,1.57212233543396
184,788,1.95649695396423
184,482,1.95649695396423
184,758,1.57212233543396
185,184,2.10989618301392
185,760,1.55308878421783
185,803,1.94084393978119
185,763,1.94084393978119
185,762,1.88136494159698
185,765,2.46231412887573
185,809,1.56538987159729
185,78,1.51430177688599
185,614,1.62404489517212
185,14,1.51430177688599
185,482,2.61444497108459
185,393,3.20546007156372
185,759,1.55308878421783
185,21,3.70130276679993
185,22,3.70130276679993
185,788,4
185,761,1.9641615152359
185,758,1.85668671131134
185,613,1.62404489517212
185,144,1.48545706272125
185,151,1.8195458650589
185,802,1.79661381244659
185,24,2.81845498085022
185,192,1.81671929359436
185,191,2.18618273735046
186,395,1.53718495368958
186,195,1.67318260669708
186,633,1.44545209407806
186,636,1.28640925884247
186,347,1.2809647321701
188,655,1.53432559967041
188,183,1.48545706272125
188,654,1.47851359844208
188,735,1.56916844844818
190,540,1.52370345592499
190,84,1.54641807079315
191,772,1.49839806556702
191,759,1.49839806556702
191,613,1.49839806556702
191,758,1.75281941890717
191,143,1.55818712711334
191,144,1.49839806556702
191,763,1.97034931182861
191,393,2.49737930297852
191,761,1.97034931182861
191,803,1.55818712711334
191,14,1.68539786338806
191,614,1.75281941890717
191,150,1.68539786338806
191,482,1.89529526233673
191,809,1.95096719264984
191,802,1.99368727207184
191,764,1.55818712711334
191,78,1.68539786338806
191,765,1.97034931182861
191,762,2.18618273735046
191,788,2.18618273735046
191,22,2.18618273735046
191,483,1.62052035331726
191,730,1.7980842590332
192,483,1.63956606388092
192,730,1.58437871932983
192,758,1.81671929359436
192,761,1.81671929359436
192,803,1.4798378944397
192,763,1.81671929359436
192,393,1.94449162483215
192,762,1.75572264194489
192,14,1.69669008255005
192,614,1.4798378944397
192,78,1.4798378944397
192,809,1.95096719264984
192,150,1.58437871932983
192,482,1.69669008255005
192,191,3.15657329559326
192,802,2.31079864501953
192,765,1.75572264194489
192,22,1.81671929359436
192,788,1.81671929359436
193,526,1.31034183502197
193,547,1.77585875988007
195,189,1.77585875988007
196,201,1.29900395870209
196,194,1.36004531383514
198,398,1.50204980373383
198,402,1.50590443611145
199,329,1.33154559135437
200,396,1.36004531383514
202,205,1.33427488803864
203,818,1.36004531383514
204,203,1.31456673145294
205,401,1.54828178882599
206,431,1.29114735126495
208,656,1.38932573795319
210,709,1.42478585243225
213,519,1.44545209407806
214,442,1.36004531383514
215,208,1.43913519382477
216,222,1.48545706272125
216,217,1.77585875988007
219,563,1.31034183502197
220,221,1.36004531383514
222,87,1.55308878421783
223,87,1.1966997385025
224,294,1.36004531383514
225,152,1.50860917568207
227,448,1.09819364547729
229,299,1.52370345592499
229,123,1.64493179321289
229,163,1.64493179321289
229,766,1.52370345592499
232,805,1.40038228034973
233,664,1.59527146816254
234,595,1.29900395870209
235,242,1.95649695396423
236,663,1.48545706272125
236,771,1.62404489517212
237,505,1.66076064109802
237,323,1.50204980373383
237,153,1.48545706272125
237,771,1.48545706272125
237,13,1.54220259189606
237,157,1.50204980373383
237,479,1.50860917568207
237,367,1.50204980373383
237,377,1.77585875988007
237,663,1.72076821327209
237,320,1.50204980373383
237,291,1.57212233543396
238,242,1.63524401187897
238,727,1.63524401187897
239,377,1.50860917568207
239,61,1.61775851249695
239,479,1.99368727207184
239,510,1.50860917568207
240,242,1.55308878421783
240,241,1.55308878421783
241,242,1.69140219688416
241,727,1.63524401187897
242,453,1.69140219688416
243,740,1.52370345592499
244,485,1.52370345592499
244,740,1.52370345592499
244,581,1.36004531383514
246,167,1.59527146816254
247,558,1.12615561485291
248,558,1.36004531383514
249,13,1.59527146816254
251,617,1.42895925045013
252,605,1.46165382862091
255,254,1.2809647321701
255,146,1.30524349212646
257,229,1.46165382862091
258,186,1.44545209407806
259,769,1.54220259189606
260,36,1.53245544433594
260,274,1.59527146816254
260,42,1.72076821327209
260,43,1.68539786338806
260,623,1.36004531383514
261,253,1.50204980373383
261,437,1.56538987159729
261,259,1.50204980373383
265,651,1.36004531383514
